Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Characteristics [Organ],Characteristics [Cell Type],Characteristics [Cell Cycle Stage],Term Source 2 REF,Assay Name,Experimental Condition [Antibody Target 1],Experimental Condition [Antibody Target 2],Comment [Gene Identifier 1],Comment [Gene Identifier 2],Comment [Gene Symbol 1],Comment [Gene Symbol 2],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File
Wild Type,WT_2.8.19_plant17_slide2_image7,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,Wild Type,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,WT_2.8.19_plant17_slide2_image7,WT/WT_2.8.19_plant17_slide2_image7,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 Over-expressor (C2),HEI10OXC2_25.2.20_plant2_slide1_image9,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,HEI10 Over-expressor (C2),HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,HEI10OXC2_25.2.20_plant2_slide1_image9,HEI10 OX/HEI10OXC2_25.2.20_plant2_slide1_image9,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 Over-expressor (C2),HEI10OXC2_25.2.20_plant2_slide1_image11,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,HEI10 Over-expressor (C2),HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,HEI10OXC2_25.2.20_plant2_slide1_image11,HEI10 OX/HEI10OXC2_25.2.20_plant2_slide1_image11,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 Over-expressor (C2),HEI10OXC2_25.2.20_plant2_slide1_image12,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,HEI10 Over-expressor (C2),HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,HEI10OXC2_25.2.20_plant2_slide1_image12,HEI10 OX/HEI10OXC2_25.2.20_plant2_slide1_image12,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 Over-expressor (C2),HEI10OXC2_25.2.20_plant2_slide1_image13,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,HEI10 Over-expressor (C2),HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,HEI10OXC2_25.2.20_plant2_slide1_image13,HEI10 OX/HEI10OXC2_25.2.20_plant2_slide1_image13,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 Over-expressor (C2),HEI10OXC2_25.2.20_plant2_slide1_image18,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,HEI10 Over-expressor (C2),HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,HEI10OXC2_25.2.20_plant2_slide1_image18,HEI10 OX/HEI10OXC2_25.2.20_plant2_slide1_image18,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image3,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image3,hei10+-/hei10+-_2.8.19_plant22_slide1_image3,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image5,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image5,hei10+-/hei10+-_2.8.19_plant22_slide1_image5,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image6,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image6,hei10+-/hei10+-_2.8.19_plant22_slide1_image6,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image7,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image7,hei10+-/hei10+-_2.8.19_plant22_slide1_image7,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image9,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image9,hei10+-/hei10+-_2.8.19_plant22_slide1_image9,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image10,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image10,hei10+-/hei10+-_2.8.19_plant22_slide1_image10,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image11,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image11,hei10+-/hei10+-_2.8.19_plant22_slide1_image11,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image12,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image12,hei10+-/hei10+-_2.8.19_plant22_slide1_image12,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image13,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image13,hei10+-/hei10+-_2.8.19_plant22_slide1_image13,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image14,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image14,hei10+-/hei10+-_2.8.19_plant22_slide1_image14,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image17,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image17,hei10+-/hei10+-_2.8.19_plant22_slide1_image17,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image18,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image18,hei10+-/hei10+-_2.8.19_plant22_slide1_image18,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image20,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image20,hei10+-/hei10+-_2.8.19_plant22_slide1_image20,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image23,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image23,hei10+-/hei10+-_2.8.19_plant22_slide1_image23,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image24,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image24,hei10+-/hei10+-_2.8.19_plant22_slide1_image24,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.8.19_plant22_slide1_image28,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.8.19_plant22_slide1_image28,hei10+-/hei10+-_2.8.19_plant22_slide1_image28,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image1,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image1,hei10+-/hei10+-_2.12.19_plant13_slide1_image1,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image2,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image2,hei10+-/hei10+-_2.12.19_plant13_slide1_image2,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image3,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image3,hei10+-/hei10+-_2.12.19_plant13_slide1_image3,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image4,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image4,hei10+-/hei10+-_2.12.19_plant13_slide1_image4,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image5,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image5,hei10+-/hei10+-_2.12.19_plant13_slide1_image5,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image6,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image6,hei10+-/hei10+-_2.12.19_plant13_slide1_image6,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image8,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image8,hei10+-/hei10+-_2.12.19_plant13_slide1_image8,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image9,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image9,hei10+-/hei10+-_2.12.19_plant13_slide1_image9,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image10,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image10,hei10+-/hei10+-_2.12.19_plant13_slide1_image10,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image11,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image11,hei10+-/hei10+-_2.12.19_plant13_slide1_image11,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image12,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image12,hei10+-/hei10+-_2.12.19_plant13_slide1_image12,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image13,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image13,hei10+-/hei10+-_2.12.19_plant13_slide1_image13,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image14,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image14,hei10+-/hei10+-_2.12.19_plant13_slide1_image14,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide1_image15,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide1_image15,hei10+-/hei10+-_2.12.19_plant13_slide1_image15,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide2_image2,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide2_image2,hei10+-/hei10+-_2.12.19_plant13_slide2_image2,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide2_image3,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide2_image3,hei10+-/hei10+-_2.12.19_plant13_slide2_image3,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide2_image4,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide2_image4,hei10+-/hei10+-_2.12.19_plant13_slide2_image4,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide2_image5,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide2_image5,hei10+-/hei10+-_2.12.19_plant13_slide2_image5,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
HEI10 +/- Heterozygous Mutant,hei10+-_2.12.19_plant13_slide2_image6,Arabidopsis thaliana,NCBITaxon,Anther,Meiocyte,Pachytene,EFO,hei10 +/- heterozygous mutant,HEI10,ZYP1,AT1G53490,AT1G22260/AT1G22275,HEI10,ZYP1A/ZYP1B,Gene Identifiers and symbols from Ensembl Plants release 50 - Feb 2021,hei10+-_2.12.19_plant13_slide2_image6,hei10+-/hei10+-_2.12.19_plant13_slide2_image6,Image folder contains one multichannel z-stack 3D-SIM image file ('composite') and 5 traved bivalent skeleton paths,3D-SIM reconstruction,405:DAPI; 488:ZYP1; 555:HEI10,idr0000-experimentB-processed.txt
